"WKT","name","description","company","longitude","latitude"
"(34.4668445 31.5016951)","Gaza",NA,"Associated Press","34.4668445","31.5016951"
"(-82.3665956 23.1135925)","Havana",NA,"Associated Press","-82.3665956","23.1135925"
"(114.1693611 22.3193039)","Hong Kong",NA,"Associated Press","114.1693611","22.3193039"
"(73.04788479999999 33.6844202)","Islamabad",NA,"Associated Press","73.04788479999999","33.6844202"
"(106.8229198 -6.1944491)","Jakarta",NA,"Associated Press","106.8229198","-6.1944491"
"(28.0473051 -26.2041028)","Johannesburg",NA,"Associated Press","28.0473051","-26.2041028"
"(-0.1275862 51.5072178)","London",NA,"Associated Press","-0.1275862","51.5072178"
"(-118.242643 34.0549076)","Los Angeles",NA,"Associated Press","-118.242643","34.0549076"
"(121.0222565 14.6090537)","Metro Manila",NA,"Associated Press","121.0222565","14.6090537"
"(-99.1013498 19.2464696)","Mexico City",NA,"Associated Press","-99.1013498","19.2464696"
"(37.6173 55.755826)","Moscow",NA,"Associated Press","37.6173","55.755826"
"(44.3265272 32.0106646)","Najaf",NA,"Associated Press","44.3265272","32.0106646"
"(-74.0059728 40.7127753)","New York",NA,"Associated Press","-74.0059728","40.7127753"
"(2.3522219 48.856614)","Paris",NA,"Associated Press","2.3522219","48.856614"
"(125.7625241 39.0392193)","Pyongyang",NA,"Associated Press","125.7625241","39.0392193"
"(35.2034184 31.9037641)","Ramallah",NA,"Associated Press","35.2034184","31.9037641"
"(-43.1728965 -22.9068467)","Rio de Janeiro",NA,"Associated Press","-43.1728965","-22.9068467"
"(12.4962352 41.9027008)","Metropolitan City of Rome Capital",NA,"Associated Press","12.4962352","41.9027008"
"(44.1910066 15.3694451)","Sana'a",NA,"Associated Press","44.1910066","15.3694451"
"(126.9917937 37.5518911)","Seoul",NA,"Associated Press","126.9917937","37.5518911"
"(139.650027 35.6764225)","Tokyo",NA,"Associated Press","139.650027","35.6764225"
"(-77.0368707 38.9071923)","Washington",NA,"Associated Press","-77.0368707","38.9071923"
